,Energy,Trip,Style,Motor_Way,City,Country_Road,Tire_Type,Consumptions
0,0.0,0.0,[],,,,[],[]
1,9.9,20.0,['Normal'],1.0,1.0,1.0,['Summer tires'],[]
2,14.3,189.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.27
3,16.28,105.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.27
4,9.9,20.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.27
5,8.68,91.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.27
6,12.8,100.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.27
7,22.0,64.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.54
8,7.14,69.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.54
9,12.55,119.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.54
10,15.9,147.0,['Normal'],0.0,1.0,1.0,['Summer tires'],9.24
11,8.3,115.0,['Normal'],0.0,1.0,1.0,['Summer tires'],9.24
12,11.2,125.0,['Normal'],0.0,1.0,1.0,['Summer tires'],8.96
13,16.2,43.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.48
14,8.8,60.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.48
15,13.4,56.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.48
16,9.9,7.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.48
17,0.66,131.0,['Normal'],0.0,1.0,1.0,['Summer tires'],16.48
18,17.4,145.0,['Normal'],1.0,1.0,1.0,['Summer tires'],10.32
19,6.6,48.0,['Normal'],1.0,1.0,1.0,['Summer tires'],10.32
20,5.0,88.0,['Normal'],1.0,1.0,1.0,['Summer tires'],10.32
21,18.5,77.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.18
22,10.0,31.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.18
23,5.0,104.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.18
24,5.0,104.0,['Normal'],1.0,1.0,1.0,['Summer tires'],12.18
25,6.3,24.0,['Normal'],1.0,1.0,1.0,['Summer tires'],14.28
26,11.85,93.0,['Normal'],1.0,1.0,1.0,['Summer tires'],14.28
27,11.85,93.0,['Normal'],1.0,1.0,1.0,['Summer tires'],14.28
28,4.11,3.0,['Normal'],1.0,1.0,1.0,['Summer tires'],14.28
29,2.3,42.0,['Normal'],1.0,1.0,1.0,['Summer tires'],14.28
30,14.5,154.0,['Normal'],1.0,1.0,1.0,['Summer tires'],9.42
31,0.0,0.0,[],,,,[],9.42
32,27.72,125.0,['Normal'],1.0,1.0,1.0,['Summer tires'],22.18
33,4.8,10.0,['Normal'],0.0,1.0,1.0,['Summer tires'],48.0
34,11.7,86.0,['Normal'],0.0,1.0,1.0,['Summer tires'],13.6
35,4.62,67.0,['Normal'],0.0,1.0,1.0,['Summer tires'],14.52
36,12.0,10.0,['Normal'],0.0,1.0,1.0,['Summer tires'],14.52
37,8.0,69.0,['Normal'],0.0,1.0,1.0,['Summer tires'],14.52
38,6.6,69.0,['Normal'],0.0,1.0,1.0,['Summer tires'],14.52
39,6.7,31.0,['Normal'],0.0,1.0,1.0,['Winter tires'],21.61
40,2.8,10.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.39
41,2.9,21.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.39
42,5.4,34.0,['Normal'],0.0,1.0,1.0,['Winter tires'],15.88
43,5.4,34.0,['Normal'],0.0,1.0,1.0,['Winter tires'],15.88
44,19.2,69.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.36
45,5.0,65.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.36
46,6.4,28.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.36
47,9.5,69.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.36
48,3.3,22.0,['Normal'],0.0,1.0,1.0,['Winter tires'],15.0
49,1.3,23.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
50,5.8,100.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
51,11.22,30.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
52,4.0,63.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
53,4.4,50.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
54,7.4,108.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
55,4.6,93.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
56,15.4,95.0,['Normal'],0.0,1.0,1.0,['Winter tires'],9.63
57,16.5,101.0,['Normal'],0.0,1.0,1.0,['Winter tires'],16.34
58,17.82,23.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.03
59,8.14,121.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.03
60,17.38,95.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.29
61,8.8,47.0,['Normal'],0.0,1.0,1.0,['Winter tires'],18.72
62,0.0,0.0,[],,,,[],18.72
63,17.6,52.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.58
64,2.09,60.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.58
65,16.0,50.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.44
66,7.1,20.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.44
67,4.2,17.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.44
68,2.7,85.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.44
69,10.1,47.0,['Normal'],0.0,1.0,1.0,['Winter tires'],21.49
70,14.0,80.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.5
71,15.2,80.0,['Normal'],0.0,1.0,1.0,['Winter tires'],19.0
72,15.2,80.0,['Normal'],0.0,1.0,1.0,['Winter tires'],19.0
73,7.54,23.0,['Normal'],0.0,1.0,1.0,['Winter tires'],17.48
