,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
0,[],,[],,[],,,,[],,,
1,"['2,81']",2.8,"['23,0']",31.0,['Moderate'],0.0,1.0,1.0,['Summer tires'],0.0,"12,22",12.2
2,"['1,94']",1.9,"['18,0']",47.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"10,78",10.8
3,"['0,44']",0.4,"['4,0']",21.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"11,00",11.1
4,"['0,29']",0.3,"['2,0']",18.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"14,50",14.3
5,"['0,30']",0.3,"['2,0']",14.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"15,00",15.1
6,"['0,30']",0.3,"['2,0']",15.0,['Moderate'],0.0,1.0,0.0,['Summer tires'],0.0,"15,00",14.8
7,"['6,36']",6.4,"['53,0']",47.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],0.0,"12,00",12.0
8,"['0,96']",1.0,"['9,0']",24.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"10,67",10.7
9,"['1,16']",1.2,"['11,0']",31.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"10,55",10.5
10,"['1,40']",1.4,"['11,0']",30.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"12,73",12.7
11,"['0,45']",0.5,"['3,0']",17.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"15,00",15.0
12,"['0,12']",0.1,"['1,0']",13.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"12,00",11.7
13,"['1,24']",1.2,"['11,0']",30.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"11,27",11.3
14,"['0,44']",0.4,"['3,0']",16.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"14,67",14.7
15,"['0,12']",0.1,"['1,0']",14.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"12,00",11.5
16,"['0,47']",0.5,"['3,0']",16.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"15,67",15.5
17,"['0,55']",0.5,"['4,0']",12.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"13,75",13.7
18,"['0,13']",0.1,"['1,0']",13.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"13,00",12.8
